ss,en,src_text,trg_text,Cosine_Score
"[ 0.5168677   0.09258664 -0.99261904 ...  0.35811922  0.5052893
  0.79346585]","[ 9.8826345e-03 -5.5762514e-04 -5.8110480e-05 ...  2.3860535e-02
  2.1534394e-02  1.5303275e-02]","Bona, Vani uphindze utivele tenteka kuwe Tinhlelo Tekucashwa Kwemmango,",and has seen the introduction of universal principles which govern the implementation of the programme and its main task is to promote community involvement where EPWP projects are implemente This also allows transparency in terms of recruitmen.,0.674838
[0.7934603 2.1538897 0.3256694 ... 0.7642341 1.0218618 1.5108417],"[ 2.1193154e-02  6.2106151e-02 -1.0749718e-06 ...  1.5475150e-02
  8.9048669e-03  3.2380655e-02]","letawuba e-St George Conference Centre eGauten I-EPWP ingumetamo lomcoka wahulumende, ledlala indzima ekudaleni imisebenti lenesitfunti kanye netindlela tekuphila naletisimeme, temfundvo, temphilo, tentfutfuko yasetindzaweni tasemaphandleni, kubakhona kwekudla kanye nekulungiswa kwetemhlaba, lokufaka ekhatsi kulwa nebugebengu nenkhohlakalLengcungcutsela igcila etincenyeni letiphatsekako taloluhlelo ngekutsi idale litfuba lekwabelana ngetipiliyoni kanye nangaloko lokuhle kakhulu lokwentiwak Loku kwenta ncono imitamo yahulumende yekudala ematfuba emsebenti kanye nekutfolwa kwemakhono ngekuceceshwa lokuyintfo levusetela imimango lephuyilKudalwe ematfuba emsebenti langetulu kwetigidzi letisikhombisa ngekusebentisa luhlelo lwe-EPWP kusukela nga-2004 kute kube ngu-2016.","See, Feel and Experience Public Employment Programmes , at St George Conference Centre in Gauten EPWP is a key government initiative, which contributes to decent work and sustainable livelihoods, education, health, rural development, food security and land reform, including the fight against crime and corruptioThe summit focuses on the practical components of the programme by providing an opportunity to share experiences and best practice This enhances government efforts of providing employment opportunities and skills acquisition through training which in turn revitalises poor communitieMore than 7 million work opportunities have been created through EPWP from 2004 to 2016.",0.88894737
"[ 0.5371743  -0.1750614   0.00639209 ...  1.0682391   0.6754341
  2.1472332 ]","[ 0.00413282 -0.00108397 -0.00010283 ...  0.03606201  0.01079171
  0.02301532]","Loku kukhombisa kusebenta ngemphumelelo kwaloluhlelo kuyo yonkhe imikhakha yahulumende, kubomasipala kanye netinhlangano temmang Sigaba Se-3 se-EPWP sesisemnyakeni wesitsatfu wekucala kwaso kusebenta","Finance Minister, Pravin Gordhan who was recognised at the 2016 Sunday Times Top 100 Companies Awards by South Africa s captains of industr This acknowledgement by the business community signals that we are in this together, and that collectively we have the will to change South Africa into a better plac The collective efforts of government, business, labour and civil society is moving onto higher trajectory to realising Vision 2030 of the ND.",0.6998702
[0.91415787 0.06240479 0.17061491 ... 1.3382505  0.44414476 1.0854704 ],[0.02080184 0.06706522 0.00771714 ... 0.0127537  0.04454971 0.02450855],futsi sesisebentisa imitsetfomgomo jikelele lehola kucala kusebenta kwaloluhlelo kantsi umsebenti walo lomkhulu kugcugcutela kutimbandzakanya kwemmango lapho imiklamo ye-EPWP icala khona kusebent.,"Cabinet highlighted that government has been at the forefront in the fight against environmental crimes, this includes work done within the security services as part of government s efforts to curb transnational organised crime and to ensure that justice prevails against those involved in syndicateCabinet congratulated the following:.",0.7019707
"[ 0.76854485 -0.04130252 -0.10021783 ...  1.0162815   1.3599944
  2.3142805 ]","[ 4.0506966e-02  4.0518553e-03 -8.2942490e-05 ...  1.4299898e-02
  6.1523728e-02  1.9433787e-02]","Kusuka ngemphumelelo ekusakateni nge-analogu kuntjintjelwe ekusakateni ngekwedijithali kwetakhamuti letisendzaweni ye-Square Kilometre Array (i-SKA) eNyakatfo Kapa, kusho kutsi letakhamuti tisemkhatsini wetakhamuti tekucala tekutfola tinzuzo letiphelele taloluhlelo lwekusakata lolunemsindvo loncono netitfombe letisezingeni letihambisana namabonakudze losakata ngekwedijithalSeyiyabonakala imiphumela yesimemetelo seNdvuna Muthambi sekutsi kutawuphotfulwa lenchubo yekutfutsela eluhlelweni lolusakata ngekwedijithali ngembi kweNgongoni 2018 ngendlela yetifundza luyachubeka, seluvele lucalile eNyakatfo Kapa naseLimpop Kubhalisa kuvuliwe eFreyistata, eMpumalanga kanye naseLimpop Kubhalisa kutawuvulwa futsi naseNyakatfo Nshonalanga, eMphumalanga Kapa, KwaZulu-Natal, eNshonalanga Kapa kanye naseGauteng esigabeni lesitak.","The successful migration from analogue to digital broadcasting for residents within the Square Kilometre Array area in the Northern Cape, means that these residents are among the first to experience the full range of benefits of improved sound and picture quality associated with digital televisioThe announcement by Minister Muthambi to complete the process of migrating to the broadcasting digital system by December 2018 in a provincial phased approach is underway, having already started in the Northern Cape and Limpop Registrations are open in the Free State, Mpumalanga and Limpop Registrations will also open in the North West, Eastern Cape, KwaZulu-Natal, Western Cape and Gauteng at a later stag.",0.871294
"[ 1.4359845  -0.03467865  0.02332197 ...  0.7195017   1.1877375
  1.5776974 ]",[0.02749731 0.00191046 0.00128988 ... 0.03679319 0.0448297  0.04545799],Kucishwa kwe-analogu kwakha incenye yenchubo yalelive yeKuntjintjela Ekusakateni ngekweDijithal Emakhaya laphuyile lafaneleka kutsi atfole sibonelelo sahulumende ayagcugcutelwa kutsi abhalisele kutfola ema-STB amahhala emagatjeni eLihhovisi Leliposi lelisedvutan.,"Africa s Greenest Hotel, Hotel Verde situated at Cape Town International Airport was voted the global winner in the Urban Accommodation category during the 15th annual Sk l International Sustainable Tourism Awards, held in Monac.",0.7584193
"[ 0.87663347  0.37226453 -0.02809667 ...  0.8647001   0.98966336
  1.8971065 ]",[0.0230992  0.03960534 0.00143817 ... 0.00999761 0.02489021 0.06252898],"IKhabhinethi iphindze futsi yatjelwa ngalamafishane mayelana nelisu lekuhhubha ematsambo etishikashiki tepolitiki letagwetjwa intsambo ngesikhatsi selubandlulul Tiboshwa tepolitiki letalengiswa ngenca yemacala laphatselene netepolitiki beti-130 emkhatsini wemnyaka wa-1960 kanye nemnyaka wa-1990, emva kwaloko sigwebo sentsambo sase siyamisw Letishikashiki titawungcwatjwa kahle etindzaweni tato lapho tidzabuka khonLenchubo ilandzela kwetfulwa esiveni Kwemklamo Wekuhhubha Ematsambo Alabagwetjwa Intsambo mhla tinge-23 Indlovulenkhulu 2016 lapha eKgosi Mampuru II Correctional Centre, kutawucalwa ngekuhhubha ematsambo etishiskashiki tepolitiki letinge-83 sikhatsi lesingaba ngetulu kwetinyanga letisitfupha ngembikwekutsi kuphele 2016/17.","Cabinet was also briefed on the plan to exhume the remains of political activists who were hanged during aparthei There were at least 130 political prisoners who were hanged for politically-related offences between 1960 and 1990, after which the death penalty was suspende These patriots will be properly buried in their places of origiThis process follows the public launch of the Gallows Exhumation Project on 23 March 2016 at the Kgosi Mampuru II Correctional Centre, to commence with the exhumation of the remains of 83 political activists over a period of six months before the end of 2016/123.",0.90051687
"[ 0.74842507  0.04725548 -0.16988681 ...  0.8065046   0.9012325
  0.742233  ]","[ 0.02950931 -0.00085495  0.00383869 ...  0.02419562  0.0271455
  0.03058362]","IKhabhinethi ikwemukele kuphotfulwa ngemphumelelo Kweseshini Ye-3 Yekhomishini Yemave Lamabili emkhatsini weBotswana neNingizimu Afrika lebeyiholwa nguMengameli Jacob Zuma kanye nemlingani wakhe Mengameli Seretse Ian Khama ngenhloso yekujulisa kusebentisana kutemnotfo emkhatsini walamave lamabilKwenta ngekushesha umsebenti we-Lesotho Highlands Water Transfer Project, kucalisa kusebenta kweNdlelalisu Yetimboni Yenhlangano Yekutfutfukisa Emave LaseNingizimu Afrika (i-SADC) kanye Neluhlelo Lesifundza Letentfutfuko Ngekwendlelalisu ngenhloso yekudala imikhicito kanye nemakhono ekwakha tintfo, kanye nekusebenta ngekubambisana ekulawuleni bugebengu bekweca iminyele njengekutingela bobhejane netindlovu ngalokungekho emtsetfweni, kube nguletinye tintfo emkhatsini waletinye letibukiwINingizimu Afrika iphindze yacinisekisa kusekela kwayo umkhetfwa we-SADC esikhundleni sekuba nguSihlalo Wekhomishini Yelubumbano Lwe-Afrika (i-AU) Umhlonishwa Dk Pelonomi Venson-Moitoi, Indvuna Yetemave Emhlaba Nekubambisana yaseRiphabhulikhi yaseBotswan.","Cabinet joins President Jacob Zuma in congratulating Donald John Trump who was elected as the 45th President of the United States of America (USA) and is confident that future engagements between South Africa and the USA will be of benefit to both countries AppointmentsAll appointments are subject to the verification of qualifications and the relevant clearanc Department of Labour:a) Mrs MSB Matebesi as Deputy Director General: Corporate Services, andb) Mr TS Maruping as Deputy Director General Unemployment Insurance Fun Ms CL Duma as Deputy Director General: Corporate Services at the Department of Touris Mr H Ratshisusu as Deputy Competition Commissione Mr Enver Daniels as the Deputy Chairperson of the Competition Tribuna Prof H Cheadle as a part time member of the Competition TribunaEnquiries:Donald LiphokoContact: 082 901 0766",0.82801783
"[ 0.8700092  -0.00382126 -0.20733199 ...  0.86186874  1.0449797
  0.861758  ]","[ 0.03751451 -0.00027726 -0.00019117 ...  0.04145337  0.03998495
  0.03307984]","Mengameli Jacob Zuma uphotfule ngemphumelelo Kuvakashela Ngekwemsebenti e-Addis Ababa, eFederal Democratic Republic of Ethiopia lapho bekahambele khona Likomidi Lelisezingeni Lelisetulu Lelubumbano Lwe-Afrika (i-AU) mayelana neLibya emhlanganweni wekubuketa nekucocisana ngesimo sekuthula nekuphepha eLiby Lelikomidi licocisane laphindze lavumelana ngetintfo letinyenti naletingasita kutsi kutfolakale sisombululo sesikhatsi lesidze kuletinsayeya bantfu baseLibya lababukene nat Njengemalunga e-AU sifuna kubona kunekuthula nekutinta eLibya kantsi futsi lelikomidi livumelene ngekutsi njenge-Afrika sidzinga kutsi sikhutsate onkhe emacembu lakhona eLibya kutsi atfole sisombululo sase-Afrika etinkingeni lelive lelibukene natMengameli Zuma uphindze futsi watimbandzakanya eNgcungcutseleni Yesibili Lesezingeni Lelisetulu Yemave Langemavolontiyae Kumbutfo wase-Afrika Wekusabela Ngekushesha Esimeni Lesibucayi (i-ACIRC).","President Jacob Zuma concluded a successful Working Visit to Addis Ababa, in the Federal Democratic Republic of Ethiopia where he attended the African Union (AU) High Level Committee on Libya meeting to review and discuss the peace and security situation in Liby The Committee discussed and agreed on a number of issues that would help find a lasting solution to challenges facing the people of Liby As members of the African Union we want to see peace and stability in Libya and the committee agreed that as Africa we need to extensively persuade all involved parties in Libya to find an African solution to the problems facing the countrPresident Zuma also participated in the Second Extraordinary Summit of the Volunteering Nations of the African Capacity for Immediate Response to Crises (ACIRC).",0.9068817
[0.92027426 0.13585415 0.13303143 ... 1.5159327  1.1080906  3.005711  ],[0.04377593 0.0089463  0.00202637 ... 0.02790846 0.05261921 0.07315311],Inhloso yaleNgcungcutsela bekukucocisana ngeMbutfo we-ACIRC ngekulandzela kutiphatsa kwe-UTULIVU AFRICA I and II Command Post Exercises (i-CPX) kanye nekucinisekisa tikhali nemasotja lebekutsiwe akhona kusukela ngeNkhwenkhweti 2014 kuya kuMabasa 2015.,The aim of this Summit was to discuss the status of the ACIRC Force following the conduct of the UTULIVU AFRICA I and II Command Post Exercises (CPX) and the verification of the pledged capabilities from May 2014 to April 2015.,0.8963963
[0.43662894 0.34990793 0.53265744 ... 0.5782359  0.5787667  2.2926533 ],"[ 0.00637796 -0.0007724   0.00395106 ...  0.02283549  0.0129688
  0.05983829]","Emave lavolontiya kusita i-ACIRC, lafaka ekhatsi iNingizimu Afrika, ancome kuhola embili ekuletseni sisombululo sase-Afrika setinsayeya tase-Afrika ngaphandle kwekungenelela kwemave angaphandle Imikhosi letako Tinsuku Le-16 Tekulwa Neludlame Lolucondziswe kuBomake Nebantfwana tenteka ngemnyaka kusukela mhla tinge-25 Lweti (Lusuku Lwemave Emhlaba Lwekucedza Budlova lobucondziswe kuBomake) kuya kumhla ti-10 Ingongoni (Lusuku Lwemave Emhlaba Lwemalungelo Eluntfu).","Volunteering countries to the ACIRC, which include South Africa, resolved to take a lead in bringing about African solutions for African challenges without the intervention of external forces Upcoming events The 16 Days of Activism for No Violence against Women and Children takes place annually from 25 November (International Day for the Elimination of Violence against Women) to 10 December (International Human Rights Day).",0.91269743
[0.74431235 0.08685393 0.290851   ... 1.1307687  0.68544024 2.3148496 ],[0.01024931 0.01229421 0.01037649 ... 0.03486724 0.01236991 0.06503054],"Letinye tinsuku letimcoka letikhunjulwako ngalesikhatsi tifaka ekhatsi Lusuku Lwemhlaba Lwengculazi mhla lu-01 Ingongoni kanye neLusuku Lwemhlaba Lwebantfu Labakhubatekile mhla ti-03 IngongonIngcikitsi ya-2016 yeTinsuku Le-16 Tekulwa Neludlame itsi,",Other key commemorative days during this period include World Aids Day on 1 December and the International Day for People with Disabilities on 3 DecembeThe 2016 theme for the 16 Days of Activism is,0.86980915
[0.32790992 0.0445126  0.08175669 ... 0.6047292  0.62899005 0.5206202 ],"[ 0.0116413  -0.00132472 -0.00092168 ...  0.00137405  0.02471442
  0.02707411]",Nami ngikhona: sisonkhe sichubekisela iNingizimu Afrika lengenabo budlova embili,Count me in: together moving a non-violent South Africa forward,0.76907885
"[ 0.675379    0.02099939 -0.08286598 ...  0.7924083   0.85166675
  0.83208936]","[ 0.01019843 -0.00074126 -0.00014491 ...  0.02604738  0.03652617
  0.02061285]","futsi isimememe umnyaka wonkhe ngekusebentisa indlela yemnyaka wonkhe ngekusebentisana njalo nemimangMengameli Jacob Zuma utawube mhla tinge-25 Lweti 2016 etfula Tinkhulumiswano Tavelonkhe lokutawuholela ekutseni Bomasipala Betifundza babambe tinkhulumiswano umnyaka wonkh Letinkhulumiswano titawufaka ekhatsi kutfutfukiswa kwemakhono kanye nekutfutfukiswa kwemimango, ikakhulukati bomake kanye nekwentiwa ncono kuletfwa kwetinsita kubantfu macondzana nekukhona kufinyelela kutfola bulungiswa kanye nekwelula kanye netinsita temphil Bonkhe bantfu baseNingizimu Afrika kungumsebenti wabo kutsi batimbandzakanye ngemfutfo emkhankhasweni wekulwa nebudlova lobucondziswe kubomake kanye nekuhlukumeta bantfwan Indvuna Yetebudlelwane",Cabinet congratulated the Proteas on their Test series victory over Australia as well as Bafana Bafana with their victory over Senegal in a World-Cup qualifier matc Cabinet wishes the Springboks well in their match against Italy and is confident that the defeat by England only serves to strengthen the teaCabinet thanks all South Africans who once again united behind our national teams by watching the various matches and wearing the colours of our flag or the shirt of their favourite tea Let us continue to embrace and capture the sense of our national pride as our teams fly the country s fla.,0.7855041
[0.3048058  0.4134292  0.02605837 ... 1.122059   0.8580882  1.1330479 ],[0.00770969 0.00306417 0.06007099 ... 0.01475309 0.01041195 0.02560483],"Nekubambisana Kwemave Emhlaba Maite Nkoana-Mashabane kanye neNdvuna Yetimbiwa Netemvelo Yenhlangano YaseRussia, Umn Sergey Donskoy, utawube angusihlalo ngekuhlanganyela kuSeshini Ye-14 yeLikomidi Lelihlanganisa Bohulumende Letekuhweba Nebubambisana Kutemnotfo (i-ITEC) emkhatsini weNingizimu Afrika neRussia ngaLesihlanu, mhla ti-18 Lweti 2016, lapha ePitolLeseshini kulindzeleke kutsi ivumelane ngemasu latsite ekwenta kute kufezekiswe kucala kusebenta kwekutinikela lokukhona kuyo yonkhe imikhakha ye-ITEC, lokufaka ekhatsi kuhweba, lutjalotimali nekubhanga; timbiwa, emandla, tekulima, temahlatsi kanye netinhlanti; tekutfutsa; tesayensi; tebuchwepheshe kanye netemkhatsi, imitfombolusito yetemanti; temfundvo netebulungisw Lisekelamengameli Cyril Ramaphosa utawube ahola litsimba leTindvuna kanye nalabatsintsekako labangekho ngaphansi kwahulumende mhla ti-19 Lweti 2016 nakuyiwa Kumbukiso Wemisebenti Yentfutfuko Yelusha lotawuba senkhundleni yetemidlalo eNkowankowa kuMasipala Wendzawo waseGreater Tzaneen, eLimpopLombukiso utawube unika teluleko macondzana nemisebenti kanye nelwatiso macondzana nemfundvo lechubekako kanye nematfuba ekuceceshwa kubafundzi","Cabinet commends all the People s Choice Sports Star of the Year Nominees Cabinet s position on issues in the environment The impact of Climate Change is being felt through the severe weather conditions in the form of inconsistent rainfall, drought conditions, excessive heat and flash floodin The flash floods in Gauteng and Mpumalanga resulted in the loss of lives, displaced communities especially in informal areas and destroyed infrastructure such as roads, bridges and propertCabinet conveys its condolences to the family and friends of those who lost their lives in the flooding and wishes those injured a speedy recover The nations thoughts and prayers are with those whose loved ones are still missin The country s Disaster Management teams remain on alert across the country, especially in areas where more rains are expecte All people must respect and respond to early warning of harsh weathePresident Jacob Zuma accompanied by Gauteng Premier David Makhura and Cooperative Governance and Traditional Affairs Minister Des van Rooyen inspected the area and visited homes that were flooded at the Stjwetla informal settlement along the Jukskei Rive President Zuma has directed an intergovernmental intervention led by Minister van Rooyen to harness the Jukskei River and buttress its banks to reduce the impact of flash floods on communitie Cabinet thanks Community based NGOs, Ward Councillors and volunteers who came to the aide of residentThe recent rains should however not draw South Africans into a false sense of security as various parts of the country continue to experience drought condition Government has released water from the Sterkfontein Dam to Vaal Dam as a short term measure to help ease the situation and made an additional R212-million available in drought aid to support farmers in provinces that have been declared drought disaster areaCabinet calls on South Africans to be conscious of the impact their actions have on the environment and do all they can to save wate International ratings agencies Moody s, Fitch and Standard and Poors will in the coming weeks announce their decision on the country s investment rating grad Government has been working with business, civil society and labour to translate the country s plans into concrete actions that will ensure South Africa remains an investment grade countr Cabinet calls on all sectors to join government in a united front to protect our country s investment statu The release of the 2015/16 audit results by the Auditor-General, Kimi Makwetu of national and provincial departments and their entities underscores the importance of performing the following basics properly and consistently: implementing plans to address deficiencies in financial controls based on commitments already made; providing effective leadership and monitoring achievement of performance targets; and reviewing and monitoring compliance with key laws and legislation over financial matterAudit outcomes of national auditees showed an overall improvement of 8 per cent; 30 per cent of the auditees had a clean audit status and 14 per cent were either outstanding, disclaimed or had adverse opinionThe provincial level showed that the majority of departments had findings on compliance with key legislation and on the quality of their annual performance reportCabinet noted with concern the risks and challenges as highlighted in the audit result It has committed government to address the pressing issues that have been identified and strengthen financial controls towards better audit outcome Cabinet welcomed the approximately 11 000 delegates who are participating at the 19th AfricaCom conference which is being held in Cape Town from 15 to 17 November 2016 under the theme",0.82491034
[0.2154895  0.64884347 0.23766431 ... 0.9132875  0.8561052  1.0561969 ],"[ 0.02405557  0.00071666 -0.0001786  ...  0.03383535  0.021976
  0.03646874]","labenta emabanga le-10 kuya kule-12, kulusha lolungasebenti, kanye nakulusha lolushiye sikolo lungakasicedz Lombukiso Wemisebenti Yentfutfuko Yelusha uyincenye yemsebenti wahulumunde wekutfutfukisa bantfu labasha, ikakhulu kutimbandzakanya kwabo kutemnotfo, kute batsatse indzawo yabo lebafanele esiven Nakulandzelwa Kwelukhetfo Lwabohulumende Basemakhaya, kutimbandzakanya kwemimango kutekubusa kuyintfo lemcoka macondzana nekuhlela kubomasipala, ngendlela lelungisa kancono tidzingo tetakhamutUmtsetfo Wetinhlaka Tabomasipala Babohulumende Basemakhaya, wa-1998, udzinga emkhatsini waletinye tintfo kutsi bomasipala basungule tindlela tekubonisana nemimango netinhlangano temmango ekwenteni imisebenti yabo nasekusebentiseni emandla ab Letinhlaka ngalokutayelekile tibitwa ngekutsi ngeMakomidi Emawadi, kantsi enta kutsi kube nekuchumana lokubalulekile emkhatsini Wemakhansela Emawadi,",Cabinet is concerned at the incitement of racial tensions and violence by public figures which detracts from our hard won freedo South Africans must condemn detrimental influences such as the racist assault of Rethabile Mlotshwa which only serves to harm our fellow South Africans and does not add to the Ubuntu of our natio We should also continue to respect the rule of law and speak out against unconstitutional calls to illegally occupy land in our communitie Cabinet respects the resignation of M Brian Molefe as Group Chief Executive of Eskom and wishes him well in his future endeavour M Molefe has been instrumental in developing Eskom s turnaround strategy which is beginning to yield positive result Cabinet is confident that he has left behind a strong executive team who will continue to deliver on Eskom s mandate and implementation of the turnaround strateg.,0.79562974
"[ 0.68911856 -0.00940953  0.0327072  ...  0.91086197  1.0058092
  2.0162904 ]",[0.03314206 0.00210978 0.00413856 ... 0.03425483 0.02592264 0.0190864 ],"ummango kanye namasipalKuletinyanga letilandzelako kutawukhetfwa Emakomidi Emawadi kute asebentele imimango ngako-ke takhamuti kufanele kutsi tibe khona kute titimbandzakanye kulolukhetfo nekutsi tibe ngemalunga aletinhlakIKhabhinethi ikwemukele kubanjwa ngemphumelelo futsi nangekuthula lukhetfo lwamasipala lwemawadi lwekuvala tikhewu lolusandza kubanjwa etifundzeni letisitfuph Bantfu baseNingizimu Afrika baphindze futsi bakhombisa kutinikela kwabo ekubeketelenaneni kutepolitiki lokuyintfo lekhombisa kubhadla kwentsandvo yetfu yelinyenti yemtsetfosisekel Umcimbi Wemklomelo Wetemidlalo waseNingizimu Afrika wanga-2016 utawubanjwa mhla tinge-27 Lweti 2016 lapha eSand du Plessis Theatre, eMangaung, eFreyistat Tincingo longashayela kuto nawufuna kuvotela Sihlabani Setemidlalo Lesikhetfwe Bantfu Semnyaka ngekuhlanganyela neTemidlalo taka-SABC Sport tisavuliwe kantsi titawuvalwa ngamhla tinge-27 Lweti 2016 ngensimbi ye-21h00.","Gift of the Givers foundation founder Imtiaz Sooliman, who was awarded the Global Citizen Award by the international advisory firm Henley & Partner This demonstrates that South African citizens are flying the flag high by giving so selflessly to people in nee.",0.72227705
"[ 0.7559058  -0.10849056 -0.29133224 ...  0.57537913  0.8779951
  1.2737863 ]",[0.05554855 0.00064522 0.00147137 ... 0.00958437 0.02412377 0.05607874],IKhabhinethi itishayela lihlombe Tihlabani Temdlalo Letikhetfwe Bantfu Temnyaka,"South African Sevens star Seabelo Senatla, who was named World Rugby Men's Sevens Player of the Year for his stellar performances in 2016.",0.66854596
"[ 0.04196731 -0.2763239  -0.2743737  ...  0.5195229  -0.21525605
  0.09631141]","[ 1.2842710e-02 -2.3709717e-03 -1.8934252e-05 ...  2.9050667e-02
  2.4370991e-03  3.5635974e-02]",Tincumo teKhabhinethi etindzabeni,Harnessing the transformative power of Africa s digital revolution: the internet as an engine for economic development and social empowerment .,0.40949175
"[ 1.1046784  -0.15663469  0.0758658  ...  0.88817203  1.6297638
  1.4110467 ]","[ 2.7967675e-02 -1.5162570e-04 -5.4202228e-05 ...  4.2849472e-03
  1.4157426e-02  3.1007528e-02]","tanyalo Lifutse Lengucuko Yesimo Selitulu seliyavakala ngenca yetimo telitulu letingasitinhle ngendlela lelingani ngayo kahle, timo tesomiso, kushisa lokwengcile kanye netikhukhul Tikhukhula temanti letibe eGauteng naseMpumalanga tidale kutsi","Executive Chef Martin Kobald, a culinary extraordinaire in South Africa, who has been elected as vice -president of the World Association of Chefs Societie.",0.64318514
"[ 0.79433084 -0.24209958  0.21418454 ...  0.47716418  0.79670596
  0.49666166]","[ 0.04556869  0.02388019 -0.00040595 ...  0.04130904  0.02563285
  0.02184363]","kube nekushona kwebantfu, imimango yaswela tindzawo tekuhlala ikakhulu etindzaweni temikhukhu","Cabinet noted the allegations in an Al Jazeera documentary against Minister of State Security, Mr David Mahlobo, and noted that the South African Police Services are investigating the allegation.",0.5648893
"[ 0.94669133  0.06042324 -0.29876816 ...  0.7764922   0.98408204
  0.6152224 ]","[ 0.01556462  0.00109167 -0.00025823 ...  0.04759735  0.0294183
  0.06890677]","kwaphindze kwabhidlika netakhiwonchanti letifana nemigwaco, emabhuloho kanye netindlIKhabhinethi itsandza kwendlulisa emavi endvudvuto","Francois Groepe who was re-appointed as the Deputy Governor of the South African Reserve Bank, by President Jacob Zuma, for a period of five years with effect from 1 January 2017. .",0.6028857
